page,date,title,body,source
0,2022-05-25,Brent Oil to tank towards $95 by year-end – Commerzbank,"Oil prices have calmed down after the sharp rise at the beginning of the war in Ukraine. Strategists at Commerzbank expect the price of Brent oil to fall to $95 per barrel by the end of the year.“We expect that the price of Brent oil will continue to fluctuate between $100 and 115 per barrel in the current quarter, before falling in the second half of the year.”“By the end of the year, Brent should be trading at $95. This is based on the assumption that there will be an EU oil embargo on Russian oil. This would increase demand for non-Russian oil, which would also have a price-increasing effect and thus justify a somewhat higher oil price level in the second half of the year than we have expected so far.”",fxstreet
0,2022-05-25,"USD/JPY sticks to gains near 127.00 amid stronger USD, FOMC minutes awaited","The USD/JPY pair surrendered its modest intraday gains and was last seen hovering near the lower end of the daily trading range, just below the 127.00 mark during the early North American session.The market sentiment remains fragile amid growing concerns about softening global economic growth amid the prospects for a more aggressive move by major central banks to constrain inflation. Furthermore, the Russia-Ukraine war and the latest COVID-19 outbreak in China have been fueling recession fears, which continued weighing on investors' sentiment. This, in turn, extended some support to the safe-haven Japanese yen and acted as a headwind for the USD/JPY pair.The global flight to safety, along with the idea that the Fed could pause the rate hike cycle later this year, dragged the US Treasury bond yields to the lowest level in over a month. This was seen as another factor that inspired bearish traders and kept a lid on the USD/JPY pair's early uptick. The downside, however, remains cushioned amid strong pickup in demand for the US dollar, which seemed rather unaffected by disappointing US Durable Goods Orders data.The markets reacted little to the US macro release as the focus remains glued to the latest FOMC monetary policy meeting minutes, due for release later during the US session. Given that a 50 bps rate hike at the next two meetings is fully priced in, investors will look for clues about the possibility of a jumbo 75 bps in June. This will play a key role in influencing the near-term USD price dynamics and help determine the next leg of a directional move for the USD/JPY pair.  ",fxstreet
0,2022-05-25,"Gold Price Analysis: XAU/USD slides back to mid-$1850s, eyes 200DMA pre-Fed minutes","Though weaker than expected just-released US Durable Goods Orders data for April saw long-term US yields hit fresh monthly lows, a reflection of rising concerns about the current health of the US economy, this has not been enough to lift gold back into positive territory on the day. XAU/USD continues to trade with losses of more than 0.5% on the day in the mid-$1850s, weighed as the US dollar clings onto gains ahead of upcoming remarks from Fed Vice Chair Lael Brainard and the release of the May Fed meeting minutes later in the day.The US dollar has been weakening over the last few sessions, with the DXY pulling back from annual highs above 105.00 to current levels in the mid-102.00s, a reflection of position adjustment following a period of prolonged US dollar outperformance as well as recent downside in long-term US yields. This has facilitated a bounce in gold from sub-$1800 levels to the $1850s.But the message from Fed policymakers in recent weeks has remained resolutely hawkish. The debate right now is over whether the Fed will be able to pause interest rate hikes when it gets to neutral and the extent to which it might need to raise interest rates beyond neutral. The debate is not over the need to tighten rates back to neutral levels, implying the bank is on autopilot for plenty more tightening this year, including two 50 bps moves at the next two meetings.As a result, many strategists suspect that recent USD weakness will likely prove short-lived, suggesting XAU/USD may not be able to sustain itself at mid-$1800 levels for long. If today’s Fed speak/minutes trigger a hawkish market reaction, traders should look out for gold retesting its 200-Day Moving Average around the $1840 levels.   ",fxstreet
0,2022-05-25,US: Durable Goods Orders rise by 0.4% MoM in April vs. 0.6% expected gain,"US Durable Goods Orders rose by 0.4% MoM in April, the latest data from the US Census Bureau on Wednesday showed, below expectations for a 0.6% rise and down from March's 0.6% MoM growth rate (which had been downwardly revised from 0.8%). The more widely followed Core Durable Goods Orders metric rose 0.3% MoM, also below expectations for a 0.6% rise and down from March's 1.1% MoM growth rate, which had been revised lower from 1.2%. The US dollar has experienced some minor weakness in wake of the downbeat data, with the DXY dropping back from session highs in the 102.40s to the 102.30s, as US 10-year yields probe 2.70%, their lowest levels in more than one month.    ",fxstreet
0,2022-05-25,EUR/USD Price Analysis: Downside pressure alleviated above 1.0830,"EUR/USD trims part of its recent advance to the 1.0750 region and returns to the 1.0650 area on Wednesday.Considering the pair’s current price action, the continuation of the rebound looks likely in the very near term at least. That said, the next up barrier now appears at the 55-day SMA, today at 1.0787 ahead of the 3-month resistance line around 1.0830.The breakout of this area should mitigate the selling pressure and allow for a probable move to the weekly high at 1.0936 (April 21).The daily RSI around 51 also indicates that extra upside could still be in store for the pair until it reaches the overbought territory (>70).  ",fxstreet
0,2022-05-25,EUR/USD to move back towards the 1.03 area in the coming months – Rabobank,"In the view of economists at Rabobank, slowing global growth is likely to leave the USD well supported. Subsequently, the EUR/USD pair is set to edge lower towards the 1.03 zone in the coming months.“Despite the recent move higher in EUR/USD, we continue to see risk of another attempt at the downside on a 1 to 3 month view.” “In addition to concerns about slowing growth risks in the US and in Europe, Chinese growth is also vulnerable. On the back of the country’s commitment to its zero Covid policy, forecasters have been consistently revising down growth expectations for China in recent months.”“Global growth risks suggest that demand for safe-haven assets is likely to remain on the front foot. This suggests the likelihood of a stronger-for-longer USD and the possibility that EUR/USD will again move back towards the 1.03 area in the coming months.” ",fxstreet
0,2022-05-25,EUR/GBP set to advance nicely above key resistance at 0.8618/21 – Credit Suisse,"EUR/GBP surged higher yesterday. Economists at Credit Suisse look for a break above key resistance at 0.8618/21 in due course. “EUR/GBP is still capped below major resistance at the 38.2% retracement of the September-2020/March-2022 fall and recent high at 0.8618/21 and is pulling back again this morning. Nevertheless, the pair maintains a large base, weekly MACD is close to confirming a cross into outright bullish territory and medium-term moving averages are now rising, therefore, our bias remains for an eventual closing break, with resistance then seen next at 0.8654/59 and beyond.” “First support is seen at 0.8434/26, then the 55-day average just below 0.8411/0.8393, with fresh buyers expected here if reached.” ",fxstreet
1,2022-05-25,SNB Chair Jordan: We are moving into an unpleasant phase for monetary policy,"SNB Chair Thomas Jordan said in an interview on Wednesday that ""we are moving into an unpleasant phase for monetary policy, reported Reuters. Global monetary policy is moving for the first time since 2008 in a tightening direction, he added in the interview with Bilanz magazine, and the SNB will have to take into account the sharp rise of global inflation on Switzerland when deciding on monetary policy next month. ",fxstreet
1,2022-05-25,"AUD/USD slides below mid-0.7000s, closer to weekly low ahead of US data/FOMC minutes","The AUD/USD pair witnessed an intraday turnaround from the 0.7120 region on Wednesday and continued losing ground through the mid-European session. The downward trajectory dragged spot prices back closer to the weekly low, below mid-0.7000s, and was sponsored by resurgent US dollar demand.In fact, the key USD Index staged a solid rebound from a nearly one-month low touched the previous day and was supported by growing concerns about softening global economic growth. The prospects for a more aggressive move by major central banks to constrain inflation, the Russia-Ukraine war and the latest COVID-19 outbreak in China have been fueling recession fears.The worries continued weighing on investors' sentiment, which was evident from a generally weaker tone around the equity markets. This, in turn, helped revive demand for the safe-haven greenback and drove flows away from the perceived riskier aussie. Apart from this, a strong intraday USD uptick could further be attributed to some repositioning trade ahead of the FOMC minutes.A 50 bps Fed rate hike move at the next two meetings is fully priced in and hence, market participants will look for clues about the possibility of a jumbo rate hike in June. This will play a key role in influencing the USD price dynamics and provide a fresh directional impetus to the AUD/USD pair. In the meantime, traders might take cues from the US Durable Goods Orders data.  ",fxstreet
1,2022-05-25,GBP/USD slides back below 1.2500 with Fed speak/minutes in focus,"GBP/USD is back to trading below the 1.2500 level on Wednesday after failing to sustain a rally into the upper 1.2500s earlier in the day as the US dollar saw some dip-buying demand ahead of more Fed speak/minutes and US Durable Goods Orders data. The pair was last trading in the 1.2490s, down about 0.3% on the day, with traders also likely enticed to sell the earlier rally into the upper 1.2500s in lieu of Tuesday’s downbeat UK PMI data which reignited fears about UK economic weakness and cast further doubt about how much more the BoE can afford to tighten monetary policy.BoE Chief Economist Huw did not react to the latest UK data in an interview published on Wednesday but did say that while he sees more tightening as needed, it won’t be necessary for the BoE to adopt a “super restrictive” policy stance. Pill highlighted the risks of overdoing tightening and worsening a recession versus the risks of not doing enough and allowing inflation to sustain momentum. By contrast, remarks from Fed Vice Chair Lael Brainard at 1615GMT followed by the release of the minutes of the Fed’s latest meeting at 1800GMT are expected to outline the Fed’s much more hawkish stance that significant further monetary tightening, including the possibility of taking interest rates well into restrictive territory, is likely.That differential in central bank policy expectations may continue to block GBP/USD path high beyond the 1.2600 level. Indeed, the pair’s recent bullish trend looks at risk of breaking, which could open up the prospect of a dip back to its 21-Day Moving Average around 1.2425. A break below here would open the door to a move back to earlier monthly lows under 1.2200. Note that politics is also a potential headwind for sterling at the moment; UK PM Boris Johnson remains under pressure to step down with senior UK civil servant Sue Gray expected to publish a report on “partygate” later in the day. All the while, UK/EU tensions regarding the Northern Ireland Protocol (NIP) continue to bubble.  ",fxstreet
1,2022-05-25,When are the US durable goods orders and how could they affect EUR/USD?,"Wednesday's US economic docket highlights the release of Durable Goods Orders data for April. The US Census Bureau will publish the monthly report at 12:30 GMT and is expected to show that headline orders rose 0.6% during the reported month as compared to the 1.1% growth reported in March. Orders excluding transportation items, which tend to have a broader impact, are also anticipated to have increased by 0.6% in April, down from a 1.4% increase in the previous month.A surprisingly stronger than expected readings should allow the US dollar to build on its solid rebound from a nearly one-month low touched the previous day. Conversely, disappointing data will add to concerns about softening economic growth and force investors to scale back expectations for a more aggressive policy tightening by the Fed. That said, any immediate market reaction is more likely to be short-lived ahead of the FOMC monetary policy meeting minutes, scheduled for release later during the US session.Eren Sengezer, Editor at FXStreet, outlined important technical levels to trade the EUR/USD pair: “In case Tuesday's monthly high at 1.0750 is taken as the end-point of the uptrend that started on May 13, the Fibonacci 23.6% retracement at 1.0660 forms significant support. Right below that level, the 200-period SMA on the four-hour chart aligns as next support at 1.0640. With a four-hour close below the latter, EUR/USD could extend its slide toward 1.0600, where the ascending trend line meets the Fibonacci 38.2% retracement level.”“On the upside, 1.0700 (psychological level, static level) aligns as initial resistance ahead of 1.0750 (monthly high). The pair needs to reclaim 1.0700 and stabilize above that level for bulls to retain control of the pricing action,” Eren added further. •  EUR/USD Forecast: Bulls need to defend 1.0660 to keep sellers at bay •  EUR/USD: Rally unlikely to extend towards the 1.08-1.09 area – ING •  EUR/USD: Bears regain control and visit the sub-1.0700 areaThe Durable Goods Orders, released by the US Census Bureau, measures the cost of orders received by manufacturers for durable goods, which means goods planned to last for three years or more, such as motor vehicles and appliances. As those durable products often involve large investments they are sensitive to the US economic situation. The final figure shows the state of US production activity. Generally speaking, a high reading is bullish for the USD.",fxstreet
1,2022-05-25,US Dollar Index Price Analysis: Extra decline remains in store,"The dollar regains the smile and encourages DXY to reclaim the area beyond the 102.00 mark on Wednesday.The index remains under scrutiny and therefore extra losses should not be ruled out for the time being. Against that, a breakdown of the May low at 101.64 (May 24) could pave the way for a visit to the temporary 55-day SMA, today at 100.97 in the short-term horizon.Looking at the broader picture, the current bullish stance in the index remains supported by the 3-month line around 100.40, while the longer-term outlook for the dollar is seen constructive while above the 200-day SMA at 96.68.  ",fxstreet
1,2022-05-25,"ECB's Knot: Inflation expectations are at the upper limit of being well anchored, 50bps July hike on the table","Dutch Central Bank head and European Central Bank (ECB) Governing Council member Klass Knot said on Wednesday that Eurozone inflation expectations are at the upper limit of being well anchored and, so long as they do remain well anchored, he is all for gradualism, reported Reuters. A 50 bps rate hike in July is not off the table, he continued, while the option of holding rates steady is off the table. There is no need for concern about Eurozone bond yield spreads at current levels, Knot added. ",fxstreet
1,2022-05-25,"BoJ Governor Kuroda: In Japan, wage growth has remained moderate, pent-up household demand has been limited","Bank of Japan Governor Haruhiko Kuroda said on Wednesday that the global surge in inflation is among the current challenges being faced by central banks, reported Reuters. In Japan, he continued, pent-up household demand has been limited and the recovery of aggregate demand has been slower than in Europe and the US. Meanwhile, wages in Japan have risen, but the rate of increase has remained moderate. The appropriate monetary policy response to inflation will differ between countries, he continued, though a common challenge for each country is to determine the magnitude and persistence of inflationary pressures. Uncertainties over geopolitical risks are extremely high, Kuroda noted, and could put downwards pressure on the global economy by shrinking trade and damaging confidence. ",fxstreet
1,2022-05-25,EUR/JPY Price Analysis: Minor contention comes around 134.00,"EUR/JPY trades on the defensive for the second session in a row, this time breaching the 136.00 yardstick.The continuation of the leg lower should meet an interim support at the 5-day SMA at 135.13, ahead of the 134.00 region (May 19 low), where decent contention is expected to emerge. If cleared, then a deeper retracement could see the May low at 132.65 (May 12), revisited.In the meantime, while above the 200-day SMA at 131.28, the outlook for the cross is expected to remain constructive.  ",fxstreet
1,2022-05-25,ECB's Knot: Not expecting to discuss balance sheet reduction this year,"While speaking in a World Economic Forum panel on Wednesday, European Central Bank (ECB) Governing Council member Klaas Knot said that he was not expecting the ECB to start discussing balance sheet reduction this year, per Reuters.""We’ve been saying that we won’t touch the balance sheet for the foreseeable future or at least well beyond liftoff,"" Knot explained. ""So I don’t expect any discussion on that at least for the remainder of this year and into next year.""The shared currency stays on the back foot on Wednesday and the EUR/USD pair was last seen losing 0.63% on the day at 1.0666.",fxstreet
1,2022-05-25,ECB's Lane: It is appropriate to normalise monetary policy,"European Central Bank (ECB) Chief Economist Philip Lane reiterated on Wednesday that it was appropriate to normalise the monetary policy, as reported by Reuters.""Eurozone inflation is still moving towards ECB's 2% target in the medium-term.""""The fact that households are upwardly revising their inflation beliefs is a concern.""""Uncertainty about war and inflation requires a lot of flexibility.""""It is an important principle that ""If you ignore the problem"" you will have to address it later on, but we have not ignored the problem.""""Exact speed of subsequent monetary policy moves after Q3 will be decided depending on the economy.""The EUR/USD pair showed no immediate reaction to these comments and was last seen losing 0.6% on a daily basis at 1.0670.",fxstreet
