,source,page,date,title,body,tokenized,action,pair,duration
21,investing,1,2022-05-20,Sterling set for its biggest weekly rise since Dec 2020 vs dollar, reuters -sterling was set for its biggest weekly gain since december 2020 against a weakening dollar as the latest economic data suggested the market might not need to scale...,"['sterling', 'set', 'biggest', 'weekly', 'rise', 'since', 'dec', '2020', 'vs', 'dollar']",bull,['gbp'],fivemin_counter
22,investing,1,2022-05-20,G7 finance leaders reaffirm FX commitment in communique, by leika kihara and francesco canepa koenigswinter germany reuters group of seven g7 finance leaders on friday pledged to closely monitor markets given recent volatility...,"['g7', 'finance', 'leaders', 'reaffirm', 'fx', 'commitment', 'communique']",na,[],fivemin_counter
23,investing,1,2022-05-20,China offers more forex hedging tools in wake of yuan volatility, shanghai reuters -china's foreign exchange regulator said on friday it would offer new derivatives tools to help companies better hedge their currency risks after recent huge...,"['china', 'offer', 'forex', 'hedge', 'tool', 'wake', 'yuan', 'volatility']",na,[],fivemin_counter
24,investing,1,2022-05-20,Rouble hits 2015 level against euro as EU prepares to pay for gas, reuters -the russian rouble rallied to its strongest levels against the euro and dollar since june 2015 and march 2018 respectively on friday which analysts attributed to eu...,"['rouble', 'hit', '2015', 'level', 'euro', 'eu', 'prepare', 'pay', 'gas']",na,['eur'],fivemin_counter
25,investing,1,2022-05-20,Japan PM says important to keep close ties with overseas FX authorities Nikkei interview, tokyo reuters japanese prime minister fumio kishida said it was important for japan to maintain close ties with overseas currency authorities in an exclusive interview with...,"['japan', 'pm', 'say', 'important', 'keep', 'close', 'tie', 'overseas', 'fx', 'authorities', 'nikkei', 'interview']",na,[],fivemin_counter
26,investing,1,2022-05-20,Dollar Edges Higher but Set for Losing Week China Cuts Key Rate,"by peter nurse
investing.com the u.s. dollar edged higher in early european trade friday but is still heading for its worst week since february as traders reacted to lower u.s....","['dollar', 'edge', 'higher', 'set', 'lose', 'week', 'china', 'cut', 'key', 'rate']",bull,[],fivemin_counter
27,investing,1,2022-05-19,Dollar Up but Set for Worst Week Since Feb 2022 as Headwinds Remain,"by gina lee
investing.com – the dollar was up on friday morning in asia headed for its worst week since early february 2022 as u.s. treasury yields retreat and fatigue after the...","['dollar', 'set', 'worst', 'week', 'since', 'feb', '2022', 'headwinds', 'remain']",bear,[],fivemin_counter
28,investing,1,2022-05-19,Euro Racks up Gains Against Dollar as ECB Liffoff Expectations Gather Pace,"by yasin ebrahim
investing.com -the euro surged against the dollar thursday as the release of the account of the european central bank’s april meeting showed concern over...","['euro', 'rack', 'gain', 'dollar', 'ecb', 'liffoff', 'expectations', 'gather', 'pace']",bull,['eur'],fivemin_counter
29,investing,1,2022-05-19,Dollar drops as yen Swiss franc draw safe-haven flows, by saqib iqbal ahmed new york reuters -the dollar slipped across the board on thursday falling to a 2-week low extending its pullback from a two-decade high as most major...,"['dollar', 'drop', 'yen', 'swiss', 'franc', 'draw', 'safe-haven', 'flow']",bear,chf/jpy,fivemin_counter
30,investing,1,2022-05-19,Russia to ease restrictions on cash FX apart from U.S dollars euros,"
reuters russia's central bank said on thursday banks would be allowed to sell citizens foreign currency without any restrictions from may 20 with the exception of u.s....","['russia', 'ease', 'restrictions', 'cash', 'fx', 'apart', 'u.s', 'dollars', 'euros']",na,['eur'],fivemin_counter
31,investing,1,2022-05-19,Russian rouble firms past 62 vs dollar as tax payments loom, reuters the russian rouble firmed past 62 against the dollar on thursday propped up by capital controls as well as looming tax payments that usually require extra conversion...,"['russian', 'rouble', 'firm', 'past', '62', 'vs', 'dollar', 'tax', 'payments', 'loom']",na,[],fivemin_counter
32,investing,1,2022-05-19,Daily FX trading volumes reach $1.86 trln in April up 5 CLS, london reuters average daily foreign exchange trading volumes in april hit $1.86 trillion 5 higher than a year earlier as volatility shot higher and investors bought and...,"['daily', 'fx', 'trade', 'volumes', 'reach', '$', '1.86', 'trln', 'april', '5', 'cls']",na,[],fivemin_counter
33,investing,1,2022-05-19,Dollar Edges Lower Risk Sentiment Remains Fragile,"by peter nurse
investing.com the u.s. dollar edged lower in early european trade thursday handing back some of the previous session’s substantial gains although the safe haven...","['dollar', 'edge', 'lower', 'risk', 'sentiment', 'remain', 'fragile']",bear,[],fivemin_counter
34,investing,1,2022-05-18,Dollar Down but Investor Sentiment Remains Fragile Over Recession Fears,"by gina lee
investing.com – the dollar was down on thursday morning in asia. safe-haven currencies pressed paused after the previous session’s big gains. however concerns are...","['dollar', 'investor', 'sentiment', 'remain', 'fragile', 'recession', 'fear']",bear,[],fivemin_counter
35,investing,2,2022-05-18,Analysis-British Pound The sick man of the currency world, by saikat chatterjee london reuters in volatile currency markets one trade stands out as an easy bet selling the british pound. with the world's fifth-biggest economy...,"['analysis-british', 'pound', 'sick', 'man', 'currency', 'world']",na,['gbp'],fivemin_counter
36,investing,2,2022-05-18,Dollar recovers ground as risk appetite fades, by saqib iqbal ahmed new york reuters -the u.s. dollar rose on wednesday on pace to snap a three-session losing streak as concerns about the outlook for global economic growth...,"['dollar', 'recover', 'grind', 'risk', 'appetite', 'fade']",na,[],fivemin_counter
37,investing,2,2022-05-18,Pound falls as UK inflation hits 40-year high, by lucy raitano london reuters -britain's pound fell against the dollar on wednesday pulling away from almost two-week highs after data showing british inflation rising to a...,"['pound', 'fall', 'uk', 'inflation', 'hit', '40-year', 'high']",na,['gbp'],fivemin_counter
38,investing,2,2022-05-18,S.African central bank eyes digital rand to cut cross-border payment costs, by rachel savage and promit mukherjee london/johannesburg reuters a digital rand in south africa could cut the high cost of cross-border payments for banks but its...,"['s.african', 'central', 'bank', 'eye', 'digital', 'rand', 'cut', 'cross-border', 'payment', 'cost']",na,[],fivemin_counter
39,investing,2,2022-05-18,Rouble dips against dollar after Russia eases capital controls, reuters the russian rouble weakened against the dollar on wednesday but steadied not far from a five-year high against the euro after losing the support of some capital...,"['rouble', 'dip', 'dollar', 'russia', 'ease', 'capital', 'control']",bear,[],fivemin_counter
40,investing,2,2022-05-18,Dollar Edges Higher U.K. Inflation Soars to 40-Year Highs,"by peter nurse
investing.com the u.s. dollar edged higher in early european trade wednesday rebounding after overnight losses while sterling weakened after u.k. inflation...","['dollar', 'edge', 'higher', 'u.k.', 'inflation', 'soar', '40-year', 'highs']",bull,['gbp'],fivemin_counter
41,investing,2,2022-05-18,Dollar Up Improving Risk Sentiment Boosts Euro and Pound,"by gina lee
investing.com – the dollar was up on wednesday morning in asia. overnight surges gave the euro and pound a boost in early trading alongside strong u.k. jobs data and a...","['dollar', 'improve', 'risk', 'sentiment', 'boost', 'euro', 'pound']",na,eur/gbp,fivemin_counter
42,investing,2,2022-05-17,U.S. considering move to block Russian debt payments -Treasury, by steve holland washington reuters -the united states is considering blocking russia’s ability to pay its u.s. bondholders by allowing a key waiver to expire next week a u.s....,"['u.s.', 'consider', 'move', 'block', 'russian', 'debt', 'payments', '-treasury']",na,['usd'],fivemin_counter
43,investing,2,2022-05-17,GBP Rallies as Strong Jobs Data Keeps BoE Rate Hike in Play Record Inflation Eyed,"by yasin ebrahim
investing.com -the pound surged against the dollar tuesday as a stronger-than-expected labor market is expected to give the bank of england the green light to...","['gbp', 'rally', 'strong', 'job', 'data', 'keep', 'boe', 'rate', 'hike', 'play', 'record', 'inflation', 'eye']",bull,['gbp'],fivemin_counter
44,investing,2,2022-05-17,Dollar slips as risk appetite returns, by saqib iqbal ahmed new york reuters -the dollar fell for a third straight day on tuesday pulling back from a two-decade high against a basket of major peers as an uptick in...,"['dollar', 'slip', 'risk', 'appetite', 'return']",bear,[],fivemin_counter
45,investing,2,2022-05-17,Lira Plunges Ninth Day as Turkish Banks Cut Down Dollar Sales,"bloomberg -sign up for our middle east newsletter and follow us @middleeast for news on the region.
turkey’s lira tumbled for a ninth day hitting a new low for the year as...","['lira', 'plunge', 'ninth', 'day', 'turkish', 'bank', 'cut', 'dollar', 'sales']",bear,[],oneday_counter
46,investing,2,2022-05-17,Indian rupee off record lows on RBI intervention bond yields rise, by swati bhat mumbai reuters the indian rupee gradually recovered after touching a record low on tuesday after the central bank intervened while bond yields edged higher...,"['indian', 'rupee', 'record', 'low', 'rbi', 'intervention', 'bond', 'yield', 'rise']",na,[],fivemin_counter
47,investing,2,2022-05-17,Rouble reverses rally as Russia eases capital controls, reuters the russian rouble weakened on tuesday stepping away from near five-year highs against the euro after the central bank eased some capital controls that were the main...,"['rouble', 'reverse', 'rally', 'russia', 'ease', 'capital', 'control']",na,[],fivemin_counter
48,investing,2,2022-05-17,Dollar Edges Lower as Risk Appetite Returns,"by peter nurse
investing.com the u.s. dollar edged lower in early european trade tuesday slipping back from a 20-year high as gains in global equity markets helped risk appetite...","['dollar', 'edge', 'lower', 'risk', 'appetite', 'return']",bear,[],fivemin_counter
49,investing,2,2022-05-16,Dollar Up but Falls From 20-Year High While Yuan Pauses Tumble,"by gina lee
investing.com – the dollar was up on tuesday morning in asia as it continues its fight for a footing. the chinese yuan found a floor from its recent drop however with...","['dollar', 'fall', '20-year', 'high', 'yuan', 'pause', 'tumble']",bear,[],fivemin_counter
50,investing,2,2022-05-16,Dollar slips from 2-decade highs yuan falls on weak China data, by sinéad carew new york reuters the u.s. dollar index was lower on monday after hitting a 20-year peak last week with the global economy in focus after weak economic data...,"['dollar', 'slip', '2-decade', 'highs', 'yuan', 'fall', 'weak', 'china', 'data']",bear,[],fivemin_counter
51,investing,2,2022-05-16,Russian rouble near 5-year highs versus euro stocks up,reuters -the russian rouble firmed past 64 per dollar on monday briefly jumping to 62.71 to the greenback and climbed towards its highest in nearly five years against the euro...,"['russian', 'rouble', 'near', '5-year', 'highs', 'versus', 'euro', 'stock']",na,['eur'],fivemin_counter
52,fxstreet,0,2022-05-25,Gold Price Forecast XAU/USD slumps towards $1840s as traders book profits ahead of FOMC minutes,gold spot xau/usd slides below the 20-day moving average dma and accelerates towards the 200-dma at $1839.66 on wednesday courtesy of a positive market mood. at the time of writing xau/usd is trading at $1844.98 down 1.10.on wednesday the non-yielding metal alongside other precious metals falls as the greenback remains buoyant and jumps from weekly lows. the us dollar index a gauge of the greenback’s value is gaining 0.52 currently at 102.300. meanwhile the us 10-year treasury yield is almost flat in the day stationary at 2.752 as market players wait for the federal reserve’s open market committee may minutes.sentiment-wise market players shrugged off concerns that the federal reserve’s tightening cycle could cause a recession. global equities are recording solid gains. meanwhile money market futures showed that investors are scaling back their bets on the federal funds rate ffr for 2023 widely expected to finish around 3 to just above the 2.50 threshold.on tuesday the atlanta fed president raphael bostic stated that the fed might pause its tightening cycle once hiking rates to the 2 threshold so the central bank can witness how the economy behaves.before wall street opened the us economic docket unveiled housing data which came mixed but tilted positively albeit concerns that the us economy might hit a recession. at the same time the durable goods orders for april grew steadily but missed expectations. at around 1800 gmt the federal reserve would unveil its may minutes giving traders additional clues regarding the us central bank monetary policy plans.in the week ahead the us docket would feature gdp estimate figures initial jobless claims pending home sales and the fed’s favorite measurement for inflation the personal consumption expenditure pce.on wednesday the xau/usd remains downward pressured tumbling below the 20-dma and also threatening to slide beneath the trend-setter 200-dma at $1839.66. it appears that gold’s pullback could be some profit-taking ahead of the release of the fomc minutes. however any further hawkish reinforcement by the fed’s minutes could send the yellow metal towards the aforementioned 200-dma and beyond targeting may lows around $1786.50.  ,"['gold', 'price', 'forecast', 'xau/usd', 'slump', 'towards', '$', '1840s', 'traders', 'book', 'profit', 'ahead', 'fomc', 'minutes']",bear,[],fivemin_counter
53,fxstreet,0,2022-05-25,GBP/USD bounces from weekly lows and marches firmly above 1.2530s pre-FOMC minutes,the british pound recovers some ground on wednesday during the north american session bouncing near weekly lows around 1.2480s and back above the 1.2500 figure. at 1.2545 the gbp/usd grinds higher due to an improved market mood.invertors’ shrugged off federal reserve concerns that aggressive tightening might cause a recession. on tuesday atlanta’s fed president raphael bostic who leans towards the hawkish end of the spectrum sounded dovish saying that the us central bank might pause its tightening cycle once rates hit the 2 threshold so the central bank can witness how the economy behaves.meanwhile global equities pare some of their weekly losses reflecting the upbeat move while the greenback rises. the us dollar index a measurement of the buck’s value against a basket of six currencies reclaims the 102.000 mark gaining 0.40 putting a lid on the gbp/usd rally. the us 10-year treasury yield remains flat around the 2.752 mark.the us economic docket featured housing data which came in mixed but tilted positively despite concerns about the us's growing economic outlook. later april’s durable goods orders grew at a slower pace than foreseen but kept positive. at around 1800 gmt the federal reserve will unveil its may minutes giving traders additional clues regarding the us central bank monetary policy plans.in the meantime the atlanta fed gdp now the projection of us gdp for the second quarter rose to 1.8 lower than the previous reading which came in at 2.1.an absent uk docket leaves gbp/usd traders adrift to boe-speak led by its chief economist huw pill. earlier pill said that too much tightening runs the risk of getting stuck in a deep recession but too little tightening runs the risk of inflation gaining self-sustaining momentum. pill's remarks came a day after a raft of downbeat uk pmi data which reignited fears about a uk economic slowdown threatening to keep the central bank from further tightening monetary conditions.the gbp/usd is downward biased albeit recovering some ground. nevertheless a solid resistance area looms at the may 4 daily highs near 1.2638 a resistance just shy of a four-month-old downsloping trendline that passes above 1.2700. that ceiling area would be difficult to overcome for gbp/usd bulls but once cleared a re-test of the 1.3000 area is on the cards. otherwise a break below 1.2470 would expose the major to further selling pressure that could send the pair for a re-test of the ytd lows at around 1.2155.  ,"['gbp/usd', 'bounce', 'weekly', 'low', 'march', 'firmly', '1.2530s', 'pre-fomc', 'minutes']",bear,gbp/usd,fivemin_counter
54,fxstreet,0,2022-05-25,NZD/USD flat on the day in the 0.6460s pre-Fed minutes releases after hawkish RBNZ-induced volatility,nzd/usd gyrated with a 100 pip 0.6410-0.6510ish range on wednesday initially boosted following a 50 bps rate hike and hawkish rate guidance from the rbnz during asia pacific trade only to be knocked back from highs amid a rebound from monthly lows in the us dollar. at current levels the pair is trading flat on the day in the 0.6460s though holds on to gains on the week of about 1.0.to recap the recent rbnz meeting the bank raised interest rates from 1.5 to 2.0 as expected but delivered much more hawkish rate guidance than forecast predicting rates would end the year at 3.4 and rise as high as 3.95 by next september. that was a big jump from the bank’s previous forecast that rates would reach 2.2 by the end of this year and 3.4 by next september.rbnz governor adrian orr’s commentary was suitably hawkish. he pledged that the committee would continue raising interest rates until they reach a level where the bank is confident that inflationary pressures will be brought under control after which rates might then be able to fall back a little. for what it's worth economic consultancy capital economics said on wednesday that they think the rbnz’s aggressive tightening cycle will tip the new zealand housing market into a downturn and the rbnz will end up cutting rates by the middle of 2023.back to wednesday’s price action dip-buying has been attributed as behind the us dollar’s comeback on wednesday after the dxy hit its lowest levels in nearly a month on tuesday under 102.00. however the buck has been knocked back a touch from earlier highs in wake of weaker-than-expected us durable goods orders data for april. analysts said the data showed a moderation of business investment at the start of q2 probably as a result of hawkish fed-induced tighter financial conditions.  speaking of which the main drivers for nzd/usd for the rest of the session will be remarks from fed vice chair lael brainard from 1615 gmt and then the release of the minutes from this month’s fed meeting at 1800 gmt. the minutes are expected to show strong support on the fomc for fed chair jerome powell’s plans to lift rates expeditiously to neutral by the end of this year with traders likely most interest in any difference of opinion on what should come next.should the fed pause and reassess or continue hiking interest rates in order to tame inflation? any preference towards the latter could see the buck supported which might send nzd/usd back to the lower 0.6400s where bears would then eye a test of the 21-day moving average in the 0.6390s just below it.  ,"['nzd/usd', 'flat', 'day', '0.6460s', 'pre-fed', 'minutes', 'release', 'hawkish', 'rbnz-induced', 'volatility']",na,nzd/usd,oneday_counter
55,fxstreet,0,2022-05-25,Silver Price Analysis XAG/USD remains under $22.00 level pre-Fed minutes releases as 21DMA caps upside,spot silver xag/usd prices were last trading just the south of the $22.00 level per troy ounce with the 21-day moving average at $22.04 still offering decent resistance and the precious metals also weighed amid a bounce from monthly lows in the us dollar in the run-up to the release of the minutes of this month’s fomc meeting. weaker than expected us durable goods orders data for april which showed a moderation of business investment at the start of q2 probably as a result of hawkish fed-induced tighter financial conditions has helped xag/usd recover from earlier session lows in the $21.70s but silver still trades lower by about 0.7 on the day.the impact of tighter financial conditions was also evident in housing figures released on tuesday that showed a steep drop in us new home sales in april. however the biggest factor seemingly holding back economic activity in the us economy remains the sharp rise in inflation since the start of 2021. so long as inflation remains elevated the us central bank may be forced to look through economic weakness. traders will be closely scrutinising the upcoming minutes release for any commentary on how the fed views the trade-off between weaker growth and elevated inflation.the minutes are expected to show that fomc members stand firmly behind chairman jerome powell’s plan to lift interest rates “expeditiously” back to neutral by the end of the year. any debate over whether the fed should then pause and assess or continue lifting rates well into restrictive territory would be interesting. preference for the latter which would be hawkish could well see the usd and us yields catch a bid and this could weigh on silver.indeed silver’s failure to rally above its 21dma is a sign that recent bullish momentum since the middle of the month that has seen xag/usd bounce from the mid-$20.00s has started to fade. traders will also be watching remarks from fed vice chair lael brainard from 1615gmt who is likely to stick to the fed’s script. silver bears will be hoping that hawkish vibes return and send xag/usd back to monthly lows in the mid-$20.00s.  ,"['silver', 'price', 'analysis', 'xag/usd', 'remain', '$', '22.00', 'level', 'pre-fed', 'minutes', 'release', '21dma', 'cap', 'upside']",na,[],fivemin_counter
56,fxstreet,0,2022-05-25,USD/CHF clings to gains amid stronger USD lacks follow-through ahead of FOMC minutes,usd/chf staged modest recovery from a one-month low amid resurgent usd demand.the risk-off mood underpinned the safe-haven chf and kept a lid on any further gains.investors look forward to the fomc meeting minutes for a fresh directional impetus.the usd/chf pair held on to its modest gains through the early north american session and was last seen trading just a few pips below the daily high around the 0.9620-0.9625 region.the us dollar made a solid comeback and snapped a two-day losing streak to a nearly one-month low which in turn assisted the usd/chf pair to attract some buying on wednesday. repositioning trade ahead of the fomc minutes turned out to be a key factor that prompted short-covering around the usd which seemed unaffected by softer-than-expected us durable goods orders data.that said the prevalent risk-off environment extended some support to the safe-haven swiss franc and kept a lid on any meaningful upside for the usd/chf pair. investors remain worried that a more aggressive move by major central banks to constrain inflation the russia-ukraine war and the latest covid-19 outbreak in china would pose challenges to the global economy.the worsening global economic outlook continued weighing on investors' sentiment which was evident from a generally weaker tone around the equity markets. the anti-risk flow was reinforced by declining us treasury bond yields. this might further hold back the usd bulls from placing aggressive bets and cap gains for the usd/chf pair ahead of the key event risk.given that a 50 bps fed rate hike move is fully priced in market participants will look for clues about the possibility of a jumbo 75 bps rate hike in june. this will play a key role in influencing the near-term usd price dynamics and provide a fresh directional impetus to the usd/chf pair.  ,"['usd/chf', 'cling', 'gain', 'amid', 'stronger', 'usd', 'lack', 'follow-through', 'ahead', 'fomc', 'minutes']",bull,usd/chf,fivemin_counter
57,fxstreet,0,2022-05-25,EUR/USD The sell-off runs out of steam in the 1.0640 region,the sentiment around the single currency remains sour and prompts eur/usd to keep the trade well south of the 1.0700 yardstick on wednesday.eur/usd corrects lower following a failed attempt to extend the daily range further north of the 1.0750 zone sparking a subsequent correction of nearly one big figure to the vicinity of 1.0640.the renewed strength in the dollar sponsored the move lower in spot which it has also met some help from lower yields on both sides of the ocean.no news from earlier comments from ecb-speakers as practically all of them joined the summer rate hike narrative in place in the last couple of weeks.in the euro calendar earlier results saw the german gdp growth rate expand 3.8 yoy in q1 and the consumer confidence tracked by gfk improved marginally to -26 for the month of june. in france the consumer confidence came in short of expectations in may at 86 from april’s 87.across the pond mba’s mortgage applications contracted 1.2 in the week to may 20 and headline durable goods orders came in short of expectations after expanding 0.4 mom in april.next on tap will be the publication of the fomc minutes of the may meeting.the moderate rebound in the dollar puts the recent sharp upside in eur/usd to the test sparking a marked drop to the 1.0640 region so far.despite the pair’s recent upside impulse the broader outlook for the single currency remains in the negative territory for the time being. as usual price action in spot should reflect dollar dynamics geopolitical concerns and the fed-ecb divergence.occasional pockets of strength in the single currency however should appear reinforced by speculation the ecb could raise rates at some point in the summer while higher german yields elevated inflation and a decent pace of the economic recovery in the region are also supportive of an improvement in the mood around the euro.key events in the euro area this week germany final q1 gdp gfk consumer confidence ecb lagarde wednesday.eminent issues on the back boiler speculation of the start of the hiking cycle by the ecb as soon as this summer. asymmetric economic recovery post-pandemic in the euro area. impact of the war in ukraine on the region’s growth prospects.so far spot is losing 0.60 at 1.0667 and a breach of 1.0459 low may 18 would target 1.0348 2022 low may 13 en route to 1.0340 2017 low january 3 2017. on the other hand the next up barrier aligns at 1.0748 monthly high may 24 followed by 1.0779 55-day sma and finally 1.0936 weekly high april 21. ,"['eur/usd', 'sell-off', 'run', 'steam', '1.0640', 'region']",na,eur/usd,fivemin_counter
